CUST_ID,THEPREDICTOR,MARKET
10111183,498.0020493640722,Yuba
10158709,801.0032962663089,Yuba
10021718,399.0016419603711,Yarnaby
10161043,306.00125924780343,Karma
10085519,-97.05998790134464,Yuba
10095583,399.0016419603711,Yuba
10121442,888.0036542877432,Yuba
10027638,303.0012469022367,Yarnaby
10082295,-97.94199153094124,Yuba
10151541,1077.0044320584452,Karma
10020967,735.0030246638415,Yarnaby
10082296,-99.64299853087756,Yuba
10069721,-98.50899386425336,Yuba
10140857,222.0009135719358,Yuba
10082472,-97.00298766677886,Karma
10058311,-97.6209902099656,Yuba
10125942,975.0040123091776,Karma
10044081,1179.004851807713,Yarnaby
10121152,240.000987645336,Yuba
10153543,1113.0045802052457,Karma
10065510,-98.06799204945504,Yuba
10103779,1194.0049135355466,Karma
10089013,-99.4149975926145,Yuba
10075483,-97.05698788899906,Yuba
10065410,-98.22399269142451,Karma
10146446,78.00032098473419,Yuba
10031303,264.00108640986963,Yarnaby
10136495,843.0034691042426,Karma
10094299,465.00191356283847,Karma
10069188,-99.0819962222566,Karma
10147755,15.0000617278335,Yuba
10162196,51.000209874633896,Karma
10125463,846.0034814498093,Karma
10000121,-99.729998888899,Yarnaby
10149830,165.0006790061685,Karma
10122059,408.0016789970712,Yuba
10092457,645.0026542968404,Yuba
10149818,657.0027036791073,Karma
10134259,387.0015925781043,Yuba
10031324,369.0015185047041,Yarnaby
10158617,429.0017654160381,Yuba
10113167,708.0029135537411,Yuba
10158640,69.0002839480341,Yuba
10002083,-98.80599508646443,Yarnaby
10146878,21.000086418966895,Yuba
10121877,168.00069135173518,Yuba
10073228,-96.51998567914262,Karma
10110277,1068.004395021745,Karma
10110214,777.0031975017753,Karma
10009506,-97.82799106180973,Yarnaby
10135740,759.003123428375,Yuba
10007238,-99.93999975308868,Yarnaby
10069165,-98.64399441980385,Yuba
10011952,-98.3439931852472,Yarnaby
10036944,768.0031604650752,Yarnaby
10040970,918.00377774341,Yarnaby
10024210,1026.0042221838114,Yarnaby
10016917,-98.27799291364472,Yarnaby
10115170,645.0026542968404,Karma
10002858,-99.42099761730564,Yarnaby
10055644,-98.79399503708218,Karma
10056633,-97.44398948157718,Karma
10090174,189.0007777707021,Yuba
10115380,342.0014073946038,Karma
10022524,294.00120986553657,Yarnaby
10119431,120.000493822668,Karma
10012130,-97.40198930873925,Yarnaby
10162555,213.0008765352357,Karma
10042998,687.0028271347743,Yarnaby
10056280,-99.78099909877363,Yuba
10148630,786.0032345384755,Karma
10080594,-99.31299717286522,Yuba
10074057,-97.18298840751288,Karma
10094738,1068.004395021745,Karma
10108886,654.0026913335406,Yuba
10143939,36.0001481468004,Yuba
10018537,720.002962936008,Yarnaby
10065662,-97.7559907655161,Karma
10154181,999.0041110737112,Karma
10057746,-98.89899546917702,Karma
10154206,402.0016543059378,Yuba
10073683,-99.33999728397532,Karma
10083046,-99.00999592596298,Yuba
10016328,-98.61999432103931,Yarnaby
10147453,876.0036049054763,Yuba
10031737,198.00081480740215,Yarnaby
10050441,42.0001728379338,Yarnaby
10071787,-97.3239889877545,Karma
10103494,1059.004357985045,Yuba
10035006,855.0035184865095,Yarnaby
10063422,-99.92499969136084,Karma
10018267,-97.37198918528355,Yarnaby
10050666,1077.0044320584452,Yarnaby
10133617,726.0029876271414,Yuba
10099547,1185.0048764988464,Yuba
10024178,846.0034814498093,Yarnaby
10012820,-97.3599891359013,Yarnaby
10093293,894.0036789788766,Karma
10116423,615.0025308411736,Yuba
10000505,-99.6759986666788,Yarnaby
10019097,201.0008271529689,Yarnaby
10146560,483.00198763623865,Yuba
10006456,-99.98499993827215,Yarnaby
10114895,702.0028888626078,Yuba
10103222,426.0017530704714,Yuba
10084776,-97.00298766677886,Karma
10032742,450.00185183500497,Yarnaby
10006193,-97.25498870380648,Yarnaby
10123395,165.0006790061685,Yuba
10047355,495.0020370185055,Yarnaby
10156071,1071.0044073673118,Yuba
10060749,-98.40399343215852,Karma
10045369,657.0027036791073,Yarnaby
10059919,-99.97599990123548,Karma
10014554,-98.5239939259812,Yarnaby
10041611,108.0004444404012,Yarnaby
10078746,-99.05199609880091,Yuba
10130150,1017.0041851471112,Yuba
10003640,-99.79899917284703,Yarnaby
10008613,-99.9189996666697,Yarnaby
10033800,702.0028888626078,Yarnaby
10088181,-98.49399380252552,Yuba
10014533,-99.84999938272166,Yarnaby
10025629,714.0029382448746,Yarnaby
10123350,870.0035802143431,Yuba
10130253,987.0040616914442,Karma
10134961,942.0038765079436,Yuba
10108110,390.001604923671,Karma
10143409,615.0025308411736,Karma
10161618,258.0010617187362,Karma
10162058,639.002629605707,Karma
10041872,972.0039999636108,Yarnaby
10135450,981.0040370003107,Karma
10155523,576.0023703488064,Karma
10023265,1104.0045431685455,Yarnaby
10077282,-99.12399639509452,Karma
10128107,102.0004197492678,Yuba
10161960,747.0030740461083,Karma
10088805,-98.38299334573956,Karma
10129914,1038.0042715660782,Yuba
10077352,-98.81499512350116,Karma
10111721,387.0015925781043,Yuba
10028007,921.0037900889768,Yarnaby
10061776,-98.59599422227478,Karma
10038864,516.0021234374724,Yarnaby
10125320,1122.004617241946,Yuba
10062223,-99.4779978518714,Yuba
10048185,1101.004530822979,Yarnaby
10048135,894.0036789788766,Yarnaby
10081394,-98.79999506177332,Karma
10047017,447.0018394894383,Yarnaby
10128189,627.0025802234402,Karma
10072646,-98.97099576547062,Karma
10006976,-97.8999913581033,Yarnaby
10155278,129.0005308593681,Karma
10096304,780.003209847342,Yuba
10061269,-97.21298853096852,Yuba
10011679,-99.70599879013446,Yarnaby
10059707,-99.60699838273077,Karma
10135207,1050.0043209483451,Yuba
10033522,1002.0041234192778,Yarnaby
